2026-04-24T10:38:44Z missing-hook --help script=/opt/termlink/.agentic-framework/agents/context/--help.sh
[2026-08-23T10:30:15Z] CRASH: checkpoint exit=1
[2026-08-23T10:30:26Z] CRASH: checkpoint exit=1
[2026-08-23T10:30:29Z] CRASH: checkpoint exit=1
[2026-09-07T16:43:41Z] CRASH: checkpoint exit=1
[2026-09-07T19:10:03Z] CRASH: checkpoint exit=1
[2026-09-08T06:18:45Z] CRASH: checkpoint exit=1
[2026-09-08T21:26:27Z] CRASH: checkpoint exit=1
[2026-09-09T07:25:25Z] CRASH: checkpoint exit=1
[2026-09-09T22:48:35Z] CRASH: checkpoint exit=1
[2026-09-11T20:29:24Z] CRASH: checkpoint exit=1
[2026-09-16T19:39:14Z] CRASH: checkpoint exit=1
[2026-09-17T20:50:41Z] CRASH: checkpoint exit=1
[2026-09-19T21:16:34Z] CRASH: checkpoint exit=1
[2026-09-20T10:34:16Z] CRASH: checkpoint exit=1
[2026-09-20T14:55:54Z] CRASH: checkpoint exit=1
[2026-09-20T14:58:49Z] CRASH: checkpoint exit=1
